arm,group,fold,seed,split_seed,inner_fold,val_positive_events,val_pr_auc,val_ece,val_brier,n_features,n_nan_cells,feat_seconds,missing_policy,slope_time
A2_zero_index,encoding,4,42,7,1,1,0.09938380947229683,0.03178849255458578,0.01875703523086598,95,0,3.121,zero,index
A2_zero_index,encoding,4,43,7,1,1,0.10886758835294223,0.034152740691490956,0.0213247605337555,95,0,3.121,zero,index
A2_zero_index,encoding,5,42,7,2,3,0.4545410361216399,0.03826546362080738,0.03775774558918002,95,0,3.121,zero,index
A2_zero_index,encoding,5,43,7,2,3,0.4538048226836847,0.03810096924644874,0.03770354275636372,95,0,3.121,zero,index
A2_zero_index,encoding,6,42,2024,0,5,0.21413769847536,0.06922123214490229,0.07084441057072655,95,0,3.121,zero,index
A2_zero_index,encoding,6,43,2024,0,5,0.21423928511542653,0.06839145904124025,0.0710313595419384,95,0,3.121,zero,index
A2_zero_index,encoding,7,42,2024,1,1,0.03178297008107927,0.019609721411216044,0.016358855373466732,95,0,3.121,zero,index
A2_zero_index,encoding,7,43,2024,1,1,0.03389177857588022,0.0197933590566896,0.016722270241799574,95,0,3.121,zero,index
A2_zero_index,encoding,8,42,2024,2,1,0.0038314176245210726,0.0004376552604184065,0.00015926740747448825,95,0,3.121,zero,index
A2_zero_index,encoding,8,43,2024,2,1,0.006211180124223602,0.0005427230239863984,0.00016356377570526888,95,0,3.121,zero,index
A3_nan_rank,encoding,0,42,42,0,1,0.0003112356053532524,0.019597821454523746,0.012870092101015333,95,1439430,3.046,nan,rank
A3_nan_rank,encoding,0,43,42,0,1,0.00025303643724696357,0.01814884636044539,0.012124285071718522,95,1439430,3.046,nan,rank
A3_nan_rank,encoding,1,42,42,1,3,0.8064881424667343,0.04826300908410505,0.04707016710507339,95,1439430,3.046,nan,rank
A3_nan_rank,encoding,1,43,42,1,3,0.8193849009340715,0.04813944195402982,0.047036736814183785,95,1439430,3.046,nan,rank
A3_nan_rank,encoding,2,42,42,2,5,0.08997512302826258,0.058472284898621434,0.057767907070068285,95,1439430,3.046,nan,rank
A3_nan_rank,encoding,2,43,42,2,5,0.08578166335086804,0.058299241525294886,0.05759955202080166,95,1439430,3.046,nan,rank
A3_nan_rank,encoding,3,42,7,0,2,0.18641030071733147,0.02249893038287515,0.021447567279206086,95,1439430,3.046,nan,rank
A3_nan_rank,encoding,3,43,7,0,2,0.1862865955286736,0.02317286648620345,0.021995749684742747,95,1439430,3.046,nan,rank
A3_nan_rank,encoding,4,42,7,1,1,0.1337664032821355,0.011249042547371,0.010685005582010737,95,1439430,3.046,nan,rank
A3_nan_rank,encoding,4,43,7,1,1,0.11668043898838357,0.010582469508526496,0.010647668247624639,95,1439430,3.046,nan,rank
A3_nan_rank,encoding,5,42,7,2,3,0.5437387312420058,0.037464934702581554,0.037044506657800444,95,1439430,3.046,nan,rank
A3_nan_rank,encoding,5,43,7,2,3,0.5434143553204119,0.0374777365336072,0.03705309320456714,95,1439430,3.046,nan,rank
A3_nan_rank,encoding,6,42,2024,0,5,0.21551939948589977,0.0759878593387231,0.07676264907107737,95,1439430,3.046,nan,rank
A3_nan_rank,encoding,6,43,2024,0,5,0.21762761158531901,0.07534039454760028,0.0760118774138957,95,1439430,3.046,nan,rank
A3_nan_rank,encoding,7,42,2024,1,1,0.012694963595826662,0.03374646476145808,0.023321157474374635,95,1439430,3.046,nan,rank
A3_nan_rank,encoding,7,43,2024,1,1,0.014086481551405437,0.03259175142184028,0.022846851290840273,95,1439430,3.046,nan,rank
A3_nan_rank,encoding,8,42,2024,2,1,0.0011074197120708748,0.001737578217904396,0.0002681548060128101,95,1439430,3.046,nan,rank
A3_nan_rank,encoding,8,43,2024,2,1,0.0012106537530266344,0.0019487204941554502,0.000289905429650886,95,1439430,3.046,nan,rank
A4_nan_index,encoding,0,42,42,0,1,0.00031279324366593683,0.020523326448123522,0.01389372448103325,95,1439430,2.238,nan,index
A4_nan_index,encoding,0,43,42,0,1,0.000273972602739726,0.019194260584845968,0.013375465202476807,95,1439430,2.238,nan,index
A4_nan_index,encoding,1,42,42,1,3,0.8054908456891683,0.04826485771278281,0.047059786800534485,95,1439430,2.238,nan,index
A4_nan_index,encoding,1,43,42,1,3,0.806469380327837,0.04806391359018097,0.04700448960060021,95,1439430,2.238,nan,index
A4_nan_index,encoding,2,42,42,2,5,0.09284260637395006,0.058439100342124614,0.05769807465292118,95,1439430,2.238,nan,index
A4_nan_index,encoding,2,43,42,2,5,0.0889209249990486,0.05811767037407164,0.057347557650020135,95,1439430,2.238,nan,index
